location,val
Stockton-on-Tees,1725.901226
World Bank Lower Middle Income,28467432.02
Bosnia and Herzegovina,74284.96222
Paraíba,52318.93465
Newcastle upon Tyne,2119.34128
Plymouth,1608.694103
Pernambuco,122960.7666
Baja California,73522.72863
Saga,5164.30447
Reading,1205.034752
Belize,5541.928142
Islington,1273.49822
New Jersey,105746.8865
South Asia,14424976.95
Southern Sub-Saharan Africa,1119020.492
Greenland,354.6214633
United Arab Emirates,99679.81401
Bahia,169232.8206
Commonwealth Middle Income,16186892.95
West Nusa Tenggara,102954.3471
South Asia - WB,15121472.97
Cornwall,4201.500127
World Bank Upper Middle Income,23219803.95
Sinaloa,48690.90528
North Yorkshire,4423.474571
North East England,24191.33436
North Sumatra,202727.7901
Birmingham,8065.991813
Bath and North East Somerset,973.442719
Fukuoka,28849.97257
Africa,8547135.421
Shizuoka,24203.83844
Egypt,964420.9531
Commonwealth Low Income,2454881.27
Netherlands,170413.8209
Libya,81890.99934
Afghanistan,301118.8395
Burkina Faso,127597.0964
Czech Republic,148899.4308
Latvia,22716.46659
Central Latin America,3790211.611
OECD Countries,13970085.47
Portugal,181197.1036
Gabon,21969.05456
Cumbria,5058.515771
Bournemouth,1335.248766
South Gloucestershire,1688.598106
Guinea-Bissau,12561.08482
Baja California Sur,12302.33638
Waltham Forest,1486.845483
Nuevo León,89184.44458
Guinea,70281.3289
Croatia,59245.64039
England,388005.3566
Greenwich,1571.439256
Sweden,96133.77469
Iran,805005.9238
Marshall Islands,1494.997909
African Region,6664477.502
Nagasaki,8273.934938
Liberia,28109.53355
Lambeth,1728.108327
Bulgaria,82977.34871
Sweden except Stockholm,79405.5928
Kent,9942.099692
K?chi,4878.97677
New Hampshire,17049.01273
Kumamoto,11254.2289
South Asia,14424976.95
Zacatecas,29194.01152
France,427483.5219
Sandwell,2682.41909
Guanajuato,127488.2587
Nottingham,1766.883257
North Tyneside,1815.474127
Guam,2972.620959
New Mexico,30507.88085
Manchester,2583.540172
Idaho,17857.85105
Leicester,1937.855128
Quintana Roo,29745.93215
Federated States of Micronesia,3165.193929
Westminster,1340.179363
Paraná,111863.4044
Hawaii,15038.63817
North West England,53587.14931
Ceará,71697.99113
Kentucky,64744.16066
Bermuda,900.6984781
Iowa,34459.75039
Virginia,100213.6904
Alaska,7436.429
Camden,1337.967068
Dominican Republic,107876.8286
Kansas,33576.10169
Lithuania,25969.69112
Dorset,3133.137497
"Bristol, City of",2443.729433
Shiga,8036.590418
Bury,1256.851124
New York,229776.7639
Amapá,4737.807105
Amazonas,26584.65106
Jambi,60846.54225
Coahuila,67527.22384
Guatemala,231184.6966
Madagascar,148713.6666
World Bank Low Income,4299648.74
Southeast Asia,9495370.866
Oaxaca,77501.75149
Spain,386397.1055
México,376473.3529
Lincolnshire,5804.757772
Walsall,2526.230525
Brent,1980.409476
Russian Federation,1181673.794
Solomon Islands,12877.91031
Wolverhampton,2286.650543
Bolton,1812.668059
Grenada,2800.656497
Central Kalimantan,63325.19814
Norway,44533.61662
North Carolina,134159.065
Moldova,33527.14988
Arizona,84873.08031
Rio Grande do Norte,41852.23177
Samoa,3432.91636
Belgium,108229.5126
San Luis Potosí,51284.42437
South Sumatra,120212.9766
Lewisham,1626.662171
Medway,1729.435855
Asia,39362241.08
Derbyshire,5746.839033
Kanagawa,52176.81939
Indonesia,4404685.604
Tower Hamlets,1305.034319
Iraq,313646.0279
Niger,91866.72633
Sub-Saharan Africa,6392303.758
Ky?to,15494.79189
Nebraska,20938.78427
Central Europe,1321058.287
Cyprus,13864.55433
Chiba,35870.3465
Rio de Janeiro,223628.2981
South Kalimantan,96188.25818
Bengkulu,40354.28522
Cambodia,150446.51
Honduras,63554.36823
Illinois,142931.5703
Malawi,117012.8859
Washington,77304.94247
Hillingdon,1872.27362
Hungary,120941.6977
Rutland,272.9340357
Guyana,16623.62314
Eritrea,43049.12415
East Sussex,3962.683999
Leeds,4322.942736
Bedford,1202.497606
Central Sub-Saharan Africa,1005449.941
Yemen,132406.5722
Wiltshire,2875.318466
Derby,1567.580692
Bangladesh,1237130.989
Europe,7868179.076
Wakayama,6307.767613
Niigata,15089.28558
G20,44219708.86
Nottinghamshire,5824.719342
Nigeria,687297.8344
Sheffield,3346.774252
Acre,5439.114528
Middlesbrough,1205.115707
Maldives,3074.429917
High-income,10319320.3
Oldham,1424.368168
South Sulawesi,134114.7366
Botswana,28451.15752
Piaui,34428.36323
American Samoa,1658.597749
?saka,55298.23379
Rondônia,14478.02905
?ita,7383.088557
Region of the Americas,11757590
T?ky?,78683.79867
West Virginia,34729.19747
Brighton and Hove,1657.479707
Wirral,3090.609957
Devon,5876.702876
Colima,16410.78789
Wakefield,2163.22581
Surrey,6862.760833
Tochigi,12249.35394
Redcar and Cleveland,1372.618612
Ethiopia,472111.5445
Wandsworth,1693.119335
African Union,8144159.923
Denmark,74141.10277
Oregon,46968.06974
Pennsylvania,172136.6955
Rochdale,1400.052544
Wokingham,1342.630971
Hy?go,34423.85153
North Somerset,1575.993862
Buckinghamshire,3138.436988
South Africa,863021.3402
Venezuela,357239.8293
Jordan,83947.69128
Southeast Sulawesi,70650.08266
World Bank Income Levels,67639451.94
Bromley,2209.907017
High-income Asia Pacific,1410083.137
Pakistan,1807040.705
Nevada,30429.68171
Riau Islands,27857.9108
Albania,15857.58959
Cuba,115623.8244
Chiapas,98299.92907
North Lincolnshire,1351.789136
Indiana,90382.78519
Central Asia,932635.6809
Nepal,211917.3771
Germany,744104.8693
Bhutan,5878.757883
Switzerland,74780.09465
South Tyneside,1450.495524
Uruguay,38920.11897
Bangka-Belitung Islands,27534.74949
Redbridge,1680.048067
Poole,1111.014268
Lampung,130831.866
Gateshead,1853.462829
Four World Regions,67534244.88
Louisiana,63183.09078
Armenia,52031.20836
Maranhão,75068.43742
Gunma,12600.77659
St Helens,1574.938843
United Kingdom,467133.2671
Nara,8521.648075
Northern Ireland,14743.87801
Kuwait,29260.7118
Laos,70238.48264
Wyoming,5904.496545
Merton,1151.580937
High-income North America,4206510.364
Maine,19401.48287
Sao Tome and Principe,957.1029018
Okinawa,7641.19627
Distrito Federal,17705.21134
Alagoas,44898.4722
Nicaragua,57818.08998
Bradford,3037.870988
Greece,93213.98543
Mali,104970.485
County Durham,5006.435601
Bexley,1614.322838
"Virgin Islands, U.S.",2569.225806
Morocco,402975.4974
Mexico,2618485.673
Gorontalo,20644.09608
Saitama,44010.19099
Cambridgeshire,4736.468285
Sunderland,2564.259264
Haiti,167984.7545
High-middle SDI,12016316.71
Santa Catarina,56574.2639
Miyazaki,7074.622638
Liverpool,3797.840783
Warrington,1799.174261
Mexico City,271935.5133
Chihuahua,74723.65287
Dominica,1508.930963
High SDI,10945783.95
Thurrock,977.7252493
America,11756689.3
Portsmouth,1569.245963
Hartlepool,886.1580408
Sergipe,26638.01505
Jamaica,70317.39122
Malaysia,238393.9269
Ukraine,369482.5343
East Kalimantan,69649.4026
"Central Europe, Eastern Europe, and Central Asia",3964513.645
Senegal,109524.0002
Sri Lanka,392302.7507
Azerbaijan,121340.8889
Kenya,304815.248
Central Sulawesi,57381.51482
Tropical Latin America,2069254.473
Tottori,3836.581495
Tonga,3045.939716
Panama,40398.05877
Wisconsin,62828.42631
Oklahoma,53039.10201
North Kalimantan,11120.94218
Kirklees,2739.856658
Central Bedfordshire,1894.424984
"Herefordshire, County of",1795.318003
Yorkshire and the Humber,34842.07548
Solihull,1785.662577
Low-middle SDI,14572037.39
Kagoshima,10483.53581
Chile,162402.2054
Shimane,4640.371716
North Sulawesi,69675.68863
Jakarta,158886.3453
Hertfordshire,7304.284565
Benin,65685.37358
Puebla,144461.1422
Toyama,7131.608222
Ohio,175682.0417
North Dakota,8437.41792
Mauritania,25675.72343
Sonora,58693.40617
Essex,10278.42014
Ishikawa,7155.269974
Argentina,419024.7453
Western Sub-Saharan Africa,2059778.556
Brunei,7026.002393
Southern Latin America,620374.5117
Shropshire,2795.864392
Japan,777981.5218
Philippines,1275669.638
Myanmar,1035132.765
Palestine,37057.14138
Djibouti,9387.993743
Okayama,11936.2653
Espírito Santo,35668.28695
Kingston upon Thames,945.3410273
Warwickshire,4929.517092
Tabasco,57389.89941
Northern Mariana Islands,1076.772107
São Paulo,365244.5584
Cheshire East,3444.991611
